ID,Epic,Purpose / business value,User stories
EPI-5,Appointment Scheduling & Calendar,"Let pet owners book, view, reschedule and cancel appointments with preferred doctors; give staff an operational calendar.","Browse services & doctors (https://www.notion.so/Browse-services-doctors-22b71b1d4c62804eb3dadc8309101205?pvs=21), Book appointment (https://www.notion.so/Book-appointment-22b71b1d4c6280c292a7dff7499e78fe?pvs=21), Manage appointments (https://www.notion.so/Manage-appointments-22b71b1d4c6280418d00fa1fef76bdb4?pvs=21), Daily agenda view (https://www.notion.so/Daily-agenda-view-22b71b1d4c6280df9133e808a7476ed1?pvs=21), Block personal slots (https://www.notion.so/Block-personal-slots-22b71b1d4c6280eb8db2f5f4c211228c?pvs=21)"
EPI-9,Electronic Medical Records (EMR),"Centralise every visit’s findings, diagnoses, tests, prescriptions and invoices in a secure, searchable record per pet.","Record consultation notes (https://www.notion.so/Record-consultation-notes-22b71b1d4c6280cb9c67de7c607a407e?pvs=21), Attach lab results (https://www.notion.so/Attach-lab-results-22b71b1d4c62805daed8c4ede38bae93?pvs=21), View visit summaries (https://www.notion.so/View-visit-summaries-22b71b1d4c628045b0bcf48ec35dd935?pvs=21), EMR access control (https://www.notion.so/EMR-access-control-22b71b1d4c628047840edbee7f34a01f?pvs=21)"
EPI-6,Treatment & Wellness Tracking,"Track vaccines, de-worming, long-term treatment plans and post-surgery follow-ups; show a health timeline for each pet.","Create vaccination schedule (https://www.notion.so/Create-vaccination-schedule-22b71b1d4c62804bbc1ddc62496dd708?pvs=21), Mark doses administered (https://www.notion.so/Mark-doses-administered-22b71b1d4c6280579d50e4e3f839606c?pvs=21), List due follow-ups (https://www.notion.so/List-due-follow-ups-22b71b1d4c6280a59869d21f39bd3737?pvs=21)"
EPI-7,Notifications & Reminders,"Send email / in-app reminders for upcoming appointments, vaccination due dates, medicine doses, and outstanding invoices.","Appointment reminder email (https://www.notion.so/Appointment-reminder-email-22b71b1d4c628009afd9f8c4da2bb2e3?pvs=21), Low-stock vaccine alert (https://www.notion.so/Low-stock-vaccine-alert-22b71b1d4c6280dd9679f505aa233eb2?pvs=21)"
EPI-3,"Services, Pricing & Inventory","Maintain the catalogue of clinical services, grooming packages, medicines and consumables with real-time stock levels.","Manage services & prices (https://www.notion.so/Manage-services-prices-22b71b1d4c628060ba3bcddae9562b95?pvs=21), Auto-decrement medicine stock (https://www.notion.so/Auto-decrement-medicine-stock-22b71b1d4c62806285c3c64f09133c42?pvs=21)"
EPI-2,User & Pet Management,"Provide self-service profiles for owners and rich profiles for pets (species, breed, microchip, allergies, weight history).","Customer registration & pet profiles (https://www.notion.so/Customer-registration-pet-profiles-22b71b1d4c62801db46fdd48037ad18b?pvs=21), Merge duplicate customers (https://www.notion.so/Merge-duplicate-customers-22b71b1d4c6280178d11cd4bd32eecae?pvs=21)"
EPI-10,Doctor & Staff Management,"Manage rosters, specialisations, licences and working hours; allow doctors to see their daily case list.","Onboard new veterinarian (https://www.notion.so/Onboard-new-veterinarian-22b71b1d4c6280b2ba58c15e35572a4d?pvs=21), Doctor daily caseload view (https://www.notion.so/Doctor-daily-caseload-view-22b71b1d4c62809da8eec754b13e1007?pvs=21)"
EPI-8,Feedback & Ratings,"Collect, moderate and display owner feedback on services and doctors to improve quality and trust.","Rate visit & comment (https://www.notion.so/Rate-visit-comment-22b71b1d4c6280caaad9d78d4ce50208?pvs=21), Moderate feedback (https://www.notion.so/Moderate-feedback-22b71b1d4c628041810be2ff7418eeca?pvs=21)"
EPI-1,Dashboards & Reports,"Give managers insight into visits, revenue, medicine usage, and doctor performance; give owners a pet health timeline.","Daily clinic summary (https://www.notion.so/Daily-clinic-summary-22b71b1d4c6280e1b722ddf635ae9ac9?pvs=21), Doctor monthly performance (https://www.notion.so/Doctor-monthly-performance-22b71b1d4c62803a97eff6ecd8044c42?pvs=21), Pet health timeline chart (https://www.notion.so/Pet-health-timeline-chart-22b71b1d4c62800eb98aca357fbce575?pvs=21)"
EPI-4,Access & Security,"Role-based authentication/authorisation (Guest, Customer, Staff, Doctor, Manager, Admin) with audit logging.","Flexible sign-up / sign-in (https://www.notion.so/Flexible-sign-up-sign-in-22b71b1d4c628043936add28dab23bad?pvs=21), Role-based permissions (https://www.notion.so/Role-based-permissions-22b71b1d4c62807bad75e3c51aa9cd0a?pvs=21), EMR audit logging (https://www.notion.so/EMR-audit-logging-22b71b1d4c6280989c2ae375a95c8080?pvs=21)"
